OBJECTID,COUNTYFP10,MAZ,TAZ,PUMA5,tractid,CensusTract,Bloc_GroupID,BlockGroup,COUNTY,COUNTY_N
54,75,10109,570,2204,6075020200.000000000000000,20200,60750202003.000000000000000,3,SAN FRANCISCO,5
55,75,10110,20,2203,6075020800.000000000000000,20800,60750208001.000000000000000,1,SAN FRANCISCO,5
56,75,10111,21,2203,6075020800.000000000000000,20800,60750208002.000000000000000,2,SAN FRANCISCO,5
57,75,10112,18,2203,6075020800.000000000000000,20800,60750208004.000000000000000,4,SAN FRANCISCO,5
58,75,10114,52,2204,6075021200.000000000000000,21200,60750212003.000000000000000,3,SAN FRANCISCO,5
59,75,10116,52,2204,6075021200.000000000000000,21200,60750212003.000000000000000,3,SAN FRANCISCO,5
60,75,10117,535,2206,6075033204.000000000000000,33204,60750332043.000000000000000,3,SAN FRANCISCO,5
61,75,10119,454,2206,6075031201.000000000000000,31201,60750312012.000000000000000,2,SAN FRANCISCO,5
62,75,10122,42,2207,6075023001.000000000000000,23001,60750230013.000000000000000,3,SAN FRANCISCO,5
63,75,10123,619,2207,6075980900.000000000000000,980900,60759809001.000000000000000,1,SAN FRANCISCO,5
64,75,10124,98,2207,6075023001.000000000000000,23001,60750230011.000000000000000,1,SAN FRANCISCO,5
65,75,10125,98,2207,6075023001.000000000000000,23001,60750230011.000000000000000,1,SAN FRANCISCO,5
66,75,10127,38,2203,6075061500.000000000000000,61500,60750615004.000000000000000,4,SAN FRANCISCO,5
67,75,10128,419,2203,6075061500.000000000000000,61500,60750615006.000000000000000,6,SAN FRANCISCO,5
68,75,10130,188,2207,6075025800.000000000000000,25800,60750258002.000000000000000,2,SAN FRANCISCO,5
69,75,10133,143,2205,6075032700.000000000000000,32700,60750327006.000000000000000,6,SAN FRANCISCO,5
70,75,10137,361,2203,6075012402.000000000000000,12402,60750124023.000000000000000,3,SAN FRANCISCO,5
71,75,10138,564,2203,6075017601.000000000000000,17601,60750176013.000000000000000,3,SAN FRANCISCO,5
72,75,10140,1,2204,6075020200.000000000000000,20200,60750202001.000000000000000,1,SAN FRANCISCO,5
73,75,10141,522,2201,6075016400.000000000000000,16400,60750164001.000000000000000,1,SAN FRANCISCO,5
74,75,10142,522,2201,6075016400.000000000000000,16400,60750164001.000000000000000,1,SAN FRANCISCO,5
75,75,10143,379,2201,6075015802.000000000000000,15802,60750158021.000000000000000,1,SAN FRANCISCO,5
76,75,10144,568,2203,6075017601.000000000000000,17601,60750176011.000000000000000,1,SAN FRANCISCO,5
77,75,10147,584,2201,6075060100.000000000000000,60100,60750601001.000000000000000,1,SAN FRANCISCO,5
78,75,10150,430,2202,6075012800.000000000000000,12800,60750128001.000000000000000,1,SAN FRANCISCO,5
79,75,10151,365,2202,6075012602.000000000000000,12602,60750126021.000000000000000,1,SAN FRANCISCO,5
80,75,10153,371,2202,6075012902.000000000000000,12902,60750129023.000000000000000,3,SAN FRANCISCO,5
81,75,10157,388,2202,6075010900.000000000000000,10900,60750109002.000000000000000,2,SAN FRANCISCO,5
82,75,10159,581,2203,6075061500.000000000000000,61500,60750615001.000000000000000,1,SAN FRANCISCO,5
83,75,10160,426,2202,6075012700.000000000000000,12700,60750127002.000000000000000,2,SAN FRANCISCO,5
84,75,10161,426,2202,6075012700.000000000000000,12700,60750127002.000000000000000,2,SAN FRANCISCO,5
85,75,10162,427,2202,6075012700.000000000000000,12700,60750127003.000000000000000,3,SAN FRANCISCO,5
86,75,10163,431,2202,6075012800.000000000000000,12800,60750128004.000000000000000,4,SAN FRANCISCO,5
87,75,10164,364,2202,6075012601.000000000000000,12601,60750126011.000000000000000,1,SAN FRANCISCO,5
88,75,10165,366,2202,6075012602.000000000000000,12602,60750126022.000000000000000,2,SAN FRANCISCO,5
89,75,10167,430,2202,6075012800.000000000000000,12800,60750128001.000000000000000,1,SAN FRANCISCO,5
90,75,10168,6,2204,6075020300.000000000000000,20300,60750203002.000000000000000,2,SAN FRANCISCO,5
91,75,10169,11,2204,6075020600.000000000000000,20600,60750206003.000000000000000,3,SAN FRANCISCO,5
92,75,10170,6,2204,6075020300.000000000000000,20300,60750203002.000000000000000,2,SAN FRANCISCO,5
93,75,10172,1,2204,6075020200.000000000000000,20200,60750202001.000000000000000,1,SAN FRANCISCO,5
94,75,10173,3,2204,6075020200.000000000000000,20200,60750202002.000000000000000,2,SAN FRANCISCO,5
95,75,10179,420,2205,6075020401.000000000000000,20401,60750204011.000000000000000,1,SAN FRANCISCO,5
96,75,10180,420,2205,6075020401.000000000000000,20401,60750204011.000000000000000,1,SAN FRANCISCO,5
97,75,10181,446,2205,6075020402.000000000000000,20402,60750204022.000000000000000,2,SAN FRANCISCO,5
98,75,10184,52,2204,6075021200.000000000000000,21200,60750212003.000000000000000,3,SAN FRANCISCO,5
99,75,10185,592,2202,6075017902.000000000000000,17902,60750179021.000000000000000,1,SAN FRANCISCO,5
100,75,10187,454,2206,6075031201.000000000000000,31201,60750312012.000000000000000,2,SAN FRANCISCO,5
101,75,10190,197,2207,6075026002.000000000000000,26002,60750260021.000000000000000,1,SAN FRANCISCO,5
102,75,10192,314,2207,6075026003.000000000000000,26003,60750260031.000000000000000,1,SAN FRANCISCO,5
103,75,10193,152,2204,6075025403.000000000000000,25403,60750254031.000000000000000,1,SAN FRANCISCO,5
104,75,10194,186,2207,6075025600.000000000000000,25600,60750256003.000000000000000,3,SAN FRANCISCO,5
105,75,10195,156,2207,6075026002.000000000000000,26002,60750260022.000000000000000,2,SAN FRANCISCO,5
106,75,10197,315,2207,6075026003.000000000000000,26003,60750260032.000000000000000,2,SAN FRANCISCO,5
107,75,10198,317,2207,6075026302.000000000000000,26302,60750263023.000000000000000,3,SAN FRANCISCO,5
108,75,10200,476,2201,6075015400.000000000000000,15400,60750154003.000000000000000,3,SAN FRANCISCO,5
109,75,10201,301,2205,6075030500.000000000000000,30500,60750305001.000000000000000,1,SAN FRANCISCO,5
110,75,10202,646,2204,6075021600.000000000000000,21600,60750216002.000000000000000,2,SAN FRANCISCO,5
111,75,10203,128,2206,6075031000.000000000000000,31000,60750310003.000000000000000,3,SAN FRANCISCO,5
112,75,10204,128,2206,6075031000.000000000000000,31000,60750310003.000000000000000,3,SAN FRANCISCO,5
113,75,10206,208,2205,6075035300.000000000000000,35300,60750353002.000000000000000,2,SAN FRANCISCO,5
114,75,10207,210,2205,6075035300.000000000000000,35300,60750353005.000000000000000,5,SAN FRANCISCO,5
115,75,10208,209,2205,6075035300.000000000000000,35300,60750353003.000000000000000,3,SAN FRANCISCO,5
116,75,10209,209,2205,6075035300.000000000000000,35300,60750353003.000000000000000,3,SAN FRANCISCO,5
117,75,10210,545,2201,6075047802.000000000000000,47802,60750478021.000000000000000,1,SAN FRANCISCO,5
118,75,10211,544,2201,6075047801.000000000000000,47801,60750478013.000000000000000,3,SAN FRANCISCO,5
119,75,10212,543,2201,6075047801.000000000000000,47801,60750478011.000000000000000,1,SAN FRANCISCO,5
120,75,10213,333,2201,6075047702.000000000000000,47702,60750477021.000000000000000,1,SAN FRANCISCO,5
121,75,10214,333,2201,6075047702.000000000000000,47702,60750477021.000000000000000,1,SAN FRANCISCO,5
122,75,10215,264,2201,6075047702.000000000000000,47702,60750477023.000000000000000,3,SAN FRANCISCO,5
123,75,10218,351,2202,6075010400.000000000000000,10400,60750104003.000000000000000,3,SAN FRANCISCO,5
124,75,10219,4,2202,6075017902.000000000000000,17902,60750179021.000000000000000,1,SAN FRANCISCO,5
125,75,10222,597,2203,6075061500.000000000000000,61500,60750615001.000000000000000,1,SAN FRANCISCO,5
126,75,10223,504,2205,6075032901.000000000000000,32901,60750329014.000000000000000,4,SAN FRANCISCO,5
127,75,10224,162,2206,6075033000.000000000000000,33000,60750330006.000000000000000,6,SAN FRANCISCO,5
128,75,10225,166,2206,6075033000.000000000000000,33000,60750330003.000000000000000,3,SAN FRANCISCO,5
129,75,10226,494,2205,6075032602.000000000000000,32602,60750326023.000000000000000,3,SAN FRANCISCO,5
130,75,10227,499,2205,6075032802.000000000000000,32802,60750328022.000000000000000,2,SAN FRANCISCO,5
131,75,10228,498,2205,6075032802.000000000000000,32802,60750328021.000000000000000,1,SAN FRANCISCO,5
132,75,10229,495,2205,6075032801.000000000000000,32801,60750328011.000000000000000,1,SAN FRANCISCO,5
