county,juris,joinkey,sumlevel,subarea,has_pda
Alameda,Alameda,ALA1,Naval Air Station,Other Area-Alameda,TRUE
Alameda,Alameda,ALA2,Northern Waterfront,Other Area-Alameda,TRUE
Alameda,Alameda,Non-PDA,Non-PDA,Other Area-Alameda,TRUE
Alameda,Albany,ALB1,San Pablo & Solano Mixed Use Neighborhood,East Bay Corridor,TRUE
Alameda,Albany,Non-PDA,Non-PDA,East Bay Corridor,TRUE
Alameda,Berkeley,BER1,Adeline Street,East Bay Corridor,TRUE
Alameda,Berkeley,BER2,Downtown,East Bay Corridor,TRUE
Alameda,Berkeley,BER3,San Pablo Avenue,East Bay Corridor,TRUE
Alameda,Berkeley,BER4,South Shattuck,East Bay Corridor,TRUE
Alameda,Berkeley,BER5,Southside/Telegraph Avenue,East Bay Corridor,TRUE
Alameda,Berkeley,BER6,University Avenue,East Bay Corridor,TRUE
Alameda,Berkeley,Non-PDA,Non-PDA,East Bay Corridor,TRUE
Alameda,Dublin,DUB1,Downtown Specific Plan Area,Dublin-Pleasanton-Livermore,TRUE
Alameda,Dublin,DUB2,Transit Center/Dublin Crossings,Dublin-Pleasanton-Livermore,TRUE
Alameda,Dublin,DUB3,Town Center,Dublin-Pleasanton-Livermore,TRUE
Alameda,Dublin,Non-PDA,Non-PDA,Dublin-Pleasanton-Livermore,TRUE
Alameda,Emeryville,EME1,Mixed-Use Core,East Bay Corridor,TRUE
Alameda,Emeryville,Non-PDA,Non-PDA,East Bay Corridor,TRUE
Alameda,Fremont,FRE1,Centerville,East Bay Corridor,TRUE
Alameda,Fremont,FRE2,City Center,East Bay Corridor,TRUE
Alameda,Fremont,FRE3,Irvington District,East Bay Corridor,TRUE
Alameda,Fremont,FRE4,Warm Springs,East Bay Corridor,TRUE
Alameda,Fremont,Non-PDA,Non-PDA,East Bay Corridor,TRUE
Alameda,Hayward,HAY1,The Cannery,East Bay Corridor,TRUE
Alameda,Hayward,HAY2,Downtown,East Bay Corridor,TRUE
Alameda,Hayward,HAY3_a,South Hayward Bay Area Rapid Transit (a),East Bay Corridor,TRUE
Alameda,Hayward,HAY3_b,South Hayward Bay Area Rapid Transit (b),East Bay Corridor,TRUE
Alameda,Hayward,HAY4,Mission Boulevard Corridor,East Bay Corridor,TRUE
Alameda,Hayward,Non-PDA,Non-PDA,East Bay Corridor,TRUE
Alameda,Livermore,LIV1,Downtown,Dublin-Pleasanton-Livermore,TRUE
