MAZ,e_ag,e_natres,e_util,e_constr,e_man_lgt,e_man_hvy,e_man_bio,e_man_tech,e_logis,e_ret_reg,e_ret_loc,e_transp,e_info,e_fire,e_serv_pers,e_lease,e_prof,e_serv_bus,e_ed_k12,e_ed_high,e_ed_other,e_health,e_serv_soc,e_art_rec,e_hotel,e_eat,e_gov,e_mis
10001,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA
10002,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,2.0,NA,2.0,NA,NA
10003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,9.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,7.0,NA,NA,6.0,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0
10005,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,60.0,2.0,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10007,NA,NA,NA,NA,1.0,NA,NA,NA,NA,2.0,NA,NA,NA,3.0,2.0,NA,3.0,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA
10009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,0.0
10012,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,4.0,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10017,NA,NA,NA,3.0,NA,NA,NA,NA,NA,2.0,1.0,NA,NA,NA,NA,NA,2.0,25.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10018,NA,NA,NA,7.0,NA,NA,NA,NA,15.0,2.0,NA,72.0,NA,NA,8.0,NA,NA,NA,15.0,NA,NA,NA,NA,NA,NA,NA,NA,0.0
10021,NA,NA,NA,19.0,NA,NA,NA,NA,33.0,NA,NA,NA,NA,NA,7.0,NA,2.0,4.0,NA,NA,NA,NA,NA,NA,NA,54.0,757.0,NA
10022,NA,NA,6.0,79.0,12.0,5.0,NA,NA,5.0,NA,37.0,21.0,NA,16.0,100.0,NA,29.0,10.0,NA,NA,4.0,3.0,NA,3.0,NA,NA,NA,3.0
10023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10024,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
10030,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,6.0,5.0,2.0,NA,8.0,NA,NA,NA,NA,NA,NA,1.0,NA,25.0,NA,0.0
10038,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,8.0,10.0,NA,10.0,15.0,NA,NA,NA,NA,NA,NA,NA,13.0,NA,67.0,42.0,NA,3.0
10039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,NA,NA
10047,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.0,NA,NA,NA,NA,3.0,NA,NA,NA,NA,2.0,NA,NA,9.0,6.0,NA,10.0,NA,NA
10048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,5.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA
10053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10054,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10055,NA,NA,NA,7.0,18.0,NA,NA,NA,NA,6.0,11.0,NA,NA,NA,2.0,NA,10.0,NA,NA,NA,NA,12.0,NA,NA,NA,80.0,NA,6.0
10056,NA,NA,NA,NA,10.0,NA,260.0,NA,NA,5.0,65.0,NA,NA,10.0,7.0,NA,33.0,2.0,NA,NA,NA,NA,NA,NA,NA,50.0,NA,0.0
10060,9.0,NA,NA,5.0,4.0,NA,NA,NA,NA,NA,3.0,NA,NA,6.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10063,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA
10064,NA,NA,14.0,43.0,6.0,5.0,NA,10.0,69.0,13.0,2.0,2.0,6.0,83.0,46.0,20.0,91.0,19.0,NA,3.0,NA,57.0,60.0,NA,NA,2.0,NA,6.0
10065,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,12.0,NA,32.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10071,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,12.0,NA,2.0,NA,8.0,NA,NA,NA,NA,NA,NA,NA,NA,3.0
10072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10073,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,NA,NA,NA,NA,NA,46.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,NA,NA,2.0,1.0,NA,5.0,1.0,NA,NA,40.0,140.0,NA,NA,NA,4.0,NA,0.0
10076,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,11.0,NA,NA,9.0,17.0,NA,15.0,NA,NA,NA,NA,110.0,19.0,NA,NA,31.0,NA,10.0
10077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10078,NA,NA,NA,3.0,1.0,NA,NA,NA,NA,NA,10.0,NA,NA,NA,12.0,NA,5.0,6.0,NA,NA,3.0,226.0,NA,4.0,NA,NA,NA,NA
10079,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA
10084,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,9.0,NA,126.0,NA,4.0,NA,NA,NA,1.0,14.0,NA,106.0,20.0,96.0,NA,6.0
10086,NA,NA,NA,3.0,5.0,NA,NA,NA,NA,8.0,5.0,NA,62.0,272.0,15.0,NA,512.0,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,3.0
10087,NA,NA,2.0,114.0,494.0,5.0,NA,NA,48.0,24.0,34.0,13.0,53.0,767.0,117.0,NA,270.0,100.0,NA,2.0,NA,55.0,16.0,28.0,NA,45.0,26.0,43.0
10094,NA,NA,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA,NA,NA,2.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
10098,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,3.0,NA,1.0,4.0,4.0,NA,NA,NA,NA,NA,NA,NA,17.0,NA,NA,10.0,NA,0.0
10099,NA,NA,NA,NA,19.0,NA,NA,NA,NA,2.0,5.0,NA,NA,20.0,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.0,NA,NA
10101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
