MAZ,e_ag,e_natres,e_util,e_constr,e_man_lgt,e_man_hvy,e_man_bio,e_man_tech,e_logis,e_ret_reg,e_ret_loc,e_transp,e_info,e_fire,e_serv_pers,e_lease,e_prof,e_serv_bus,e_ed_k12,e_ed_high,e_ed_other,e_health,e_serv_soc,e_art_rec,e_hotel,e_eat,e_gov,e_mis
10102,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10104,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.0,NA
10107,NA,NA,NA,10.0,2.0,NA,NA,NA,3.0,24.0,NA,1.0,3.0,13.0,34.0,NA,4.0,NA,44.0,NA,NA,NA,NA,NA,NA,6.0,NA,0.0
10109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.0,1.0,NA,NA
10110,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,44.0,NA,6.0,NA,21.0,NA,NA,2.0,NA,NA,NA,12.0,NA,12.0,3.0,32.0,NA,NA
10111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10112,NA,NA,NA,NA,10.0,NA,NA,NA,3.0,NA,32.0,NA,NA,1.0,24.0,NA,3.0,7.0,NA,NA,NA,4.0,NA,25.0,NA,59.0,NA,0.0
10114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10116,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
10117,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,2.0,NA,NA,3.0,NA,752.0,NA,NA,NA,NA,NA,NA,NA,NA
10119,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,10.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,69.0,NA,0.0
10122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10123,NA,NA,NA,NA,10.0,NA,NA,NA,85.0,NA,26.0,20.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0
10124,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,17.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10125,NA,NA,NA,6.0,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA
10127,NA,NA,NA,4.0,NA,NA,NA,NA,1.0,NA,NA,NA,3.0,16.0,NA,NA,57.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10128,NA,NA,NA,29.0,61.0,NA,10.0,6.0,16.0,96.0,44.0,4.0,582.0,35.0,17.0,NA,233.0,32.0,NA,10.0,NA,21.0,NA,52.0,4.0,8.0,NA,6.0
10130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10133,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10137,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,15.0,NA,2.0,4.0,NA,11.0,NA,80.0,NA,NA,19.0,NA,NA,8.0,17.0,NA,NA
10138,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,6.0,NA,2.0,10.0,68.0,NA,18.0,16.0,NA,NA,NA,1.0,3.0,NA,377.0,44.0,NA,0.0
10140,NA,NA,NA,7.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,10.0,NA,7.0,3.0,NA,1.0,NA,NA,NA,2.0,NA,41.0,NA,NA
10141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,106.0,3.0,3.0,2.0,5.0,NA,7.0,NA,NA,NA,NA,NA,4.0,NA,NA,80.0,NA,NA
10142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0,NA,0.0
10143,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0,3.0,NA,7.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10144,NA,NA,NA,51.0,20.0,18.0,NA,NA,49.0,1847.0,2123.0,NA,239.0,104.0,80.0,NA,64.0,15.0,20.0,133.0,11.0,NA,36.0,57.0,296.0,692.0,7.0,10.0
10147,NA,18.0,NA,46.0,470.0,5.0,NA,NA,24.0,64.0,108.0,600.0,374.0,728.0,292.0,1.0,202.0,86.0,101.0,NA,17.0,65.0,327.0,142.0,11.0,52.0,322.0,304.0
10150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16.0,NA,NA,12.0,NA,NA,NA,NA,NA,NA,NA,15.0,43.0,NA,0.0
10151,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10153,NA,NA,NA,9.0,NA,NA,NA,NA,6.0,1.0,13.0,11.0,2.0,34.0,9.0,NA,32.0,42.0,4.0,5.0,3.0,5.0,NA,30.0,15.0,NA,NA,8.0
10157,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,3.0,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA
10159,NA,NA,400.0,30.0,9.0,NA,NA,NA,40.0,190.0,8.0,6.0,537.0,638.0,26.0,NA,2325.0,88.0,NA,6.0,NA,NA,NA,NA,NA,206.0,NA,6.0
10160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10161,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10162,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,10.0,NA,6.0,5.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,25.0,NA,NA,NA,NA
10163,NA,NA,NA,2.0,29.0,NA,NA,NA,NA,NA,57.0,NA,NA,3.0,9.0,NA,2.0,NA,NA,NA,1.0,NA,NA,NA,2.0,102.0,NA,NA
10164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10165,NA,NA,NA,3.0,NA,NA,NA,NA,NA,3.0,NA,NA,NA,6.0,9.0,NA,2.0,NA,NA,NA,6.0,NA,2.0,NA,NA,1.0,NA,NA
10167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,NA,2.0,10.0,17.0,NA,3.0,8.0,NA,NA,NA,2.0,2.0,NA,6.0,99.0,19.0,0.0
10168,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,2.0,NA,12.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10170,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.0,NA,NA,NA,22.0,NA,NA,NA,NA,20.0,NA,NA,NA,2.0
10172,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,3.0,NA,NA,3.0,12.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA
10173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.0,NA,NA,NA,15.0,NA,NA,NA,NA,NA
10179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10181,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA
10184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,50.0,NA,NA,NA,14.0,NA,NA,NA,NA,NA
10185,NA,NA,NA,7.0,4.0,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.0,0.0
10187,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,3.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,0.0
10190,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.0,NA,NA,NA,NA,NA,NA,NA,NA,NA
10193,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.0,NA,NA,NA,NA,NA,NA
10194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10197,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10200,NA,NA,NA,NA,3.0,NA,NA,NA,NA,20.0,1.0,NA,15.0,NA,NA,NA,NA,4.0,20.0,NA,NA,NA,NA,NA,NA,NA,6.0,NA
10201,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,16.0,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA
10202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10206,NA,NA,NA,NA,3.0,NA,NA,NA,NA,2.0,5.0,NA,NA,7.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.0,NA,NA
10207,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10208,NA,NA,NA,2.0,NA,NA,NA,NA,17.0,NA,65.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10209,NA,NA,NA,1.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
10210,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,6.0,NA,2.0,NA,2.0,NA,NA,NA,NA,NA,5.0,4.0,NA,NA,NA,NA,NA,3.0
10211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10212,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10213,NA,NA,NA,10.0,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA
10214,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10215,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0
10218,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.0,NA,NA,NA,5.0,NA,NA,72.0,NA,NA,15.0,NA,NA,NA,NA,NA,NA,NA,NA
10219,2.0,NA,NA,23.0,13.0,NA,NA,NA,5.0,NA,7.0,NA,4.0,23.0,48.0,NA,66.0,16.0,NA,4.0,NA,36.0,72.0,11.0,NA,9.0,18.0,10.0
10222,NA,NA,NA,33.0,NA,NA,NA,NA,NA,NA,1.0,NA,6.0,7.0,NA,NA,28.0,10.0,NA,NA,NA,NA,NA,NA,NA,96.0,NA,9.0
10223,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,2.0,NA,3.0,11.0,2.0,NA,1.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA
10225,NA,NA,NA,4.0,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300.0,NA,NA,NA,NA,NA
10226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0
10227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.0,1.0,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,2.0,NA,NA
10228,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10229,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0,4.0,NA,NA,NA,NA,NA,2.0,NA,NA,NA,NA,NA,NA,NA
10230,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.0,NA,NA,NA,NA,NA
10232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10233,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,NA,3.0
10235,NA,NA,NA,5.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10239,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.0,NA,NA,NA,NA,3.0,NA,NA
10247,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.0,NA,NA,0.0,0.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10250,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0,2.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10251,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10252,NA,NA,NA,3.0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0,NA,NA,NA,NA,NA,NA
10253,NA,NA,NA,15.0,3.0,NA,NA,NA,NA,NA,3.0,NA,NA,6.0,1.0,NA,NA,13.0,NA,NA,NA,NA,NA,NA,NA,27.0,NA,NA
